0,1751881185.2582805,[37327.0, 37292.0, 34416.0, 36664.0, 37696.0, 36601.0]
4,1751881185.5914176,[37325.0, 37292.0, 34416.0, 36666.0, 37695.0, 36603.0]
8,1751881185.9248476,[37325.0, 37291.0, 34415.0, 36664.0, 37696.0, 36602.0]
12,1751881186.2581725,[37325.0, 37292.0, 34414.0, 36665.0, 37696.0, 36601.0]
16,1751881186.5942464,[37326.0, 37290.0, 34414.0, 36664.0, 37696.0, 36602.0]
20,1751881186.9262123,[37327.0, 37290.0, 34414.0, 36663.0, 37695.0, 36602.0]
24,1751881187.2586782,[37326.0, 37291.0, 34416.0, 36665.0, 37696.0, 36601.0]
28,1751881187.592281,[37325.0, 37291.0, 34415.0, 36665.0, 37695.0, 36601.0]
32,1751881187.925608,[37329.0, 37293.0, 34414.0, 36664.0, 37696.0, 36602.0]
36,1751881188.2600276,[37325.0, 37291.0, 34414.0, 36664.0, 37696.0, 36603.0]
40,1751881188.5927138,[37326.0, 37292.0, 34413.0, 36665.0, 37695.0, 36601.0]
44,1751881188.9262507,[37325.0, 37292.0, 34416.0, 36664.0, 37695.0, 36604.0]
48,1751881189.259602,[37324.0, 37290.0, 34415.0, 36665.0, 37693.0, 36602.0]
52,1751881189.5938337,[37324.0, 37290.0, 34413.0, 36664.0, 37694.0, 36603.0]
56,1751881189.9280057,[37325.0, 37291.0, 34415.0, 36664.0, 37694.0, 36603.0]
60,1751881190.2628813,[37326.0, 37291.0, 34415.0, 36665.0, 37697.0, 36603.0]
64,1751881190.5953143,[37327.0, 37291.0, 34414.0, 36664.0, 37697.0, 36604.0]
68,1751881190.9285793,[37325.0, 37290.0, 34416.0, 36664.0, 37696.0, 36603.0]
72,1751881191.262068,[37325.0, 37291.0, 34415.0, 36665.0, 37696.0, 36602.0]
76,1751881191.595842,[37324.0, 37291.0, 34414.0, 36666.0, 37696.0, 36604.0]
80,1751881191.928943,[37326.0, 37290.0, 34415.0, 36664.0, 37695.0, 36603.0]
84,1751881192.262415,[37324.0, 37290.0, 34415.0, 36664.0, 37697.0, 36602.0]
88,1751881192.5957935,[37325.0, 37291.0, 34415.0, 36663.0, 37695.0, 36603.0]
92,1751881192.9292383,[37325.0, 37292.0, 34414.0, 36665.0, 37696.0, 36602.0]
96,1751881193.2629979,[37326.0, 37290.0, 34416.0, 36664.0, 37695.0, 36602.0]
100,1751881193.5959752,[37323.0, 37292.0, 34415.0, 36664.0, 37695.0, 36602.0]
104,1751881193.9318912,[37325.0, 37291.0, 34413.0, 36664.0, 37695.0, 36603.0]
108,1751881194.2648492,[37325.0, 37292.0, 34413.0, 36663.0, 37696.0, 36602.0]
112,1751881194.5974221,[37324.0, 37293.0, 34414.0, 36664.0, 37697.0, 36603.0]
116,1751881194.9318292,[37324.0, 37292.0, 34413.0, 36662.0, 37698.0, 36602.0]
120,1751881195.264254,[37326.0, 37291.0, 34414.0, 36666.0, 37696.0, 36601.0]
124,1751881195.5979455,[37324.0, 37292.0, 34413.0, 36664.0, 37695.0, 36602.0]
128,1751881195.931395,[37326.0, 37291.0, 34415.0, 36665.0, 37695.0, 36601.0]
132,1751881196.2646253,[37325.0, 37292.0, 34414.0, 36664.0, 37696.0, 36602.0]
136,1751881196.5992815,[37325.0, 37292.0, 34414.0, 36665.0, 37693.0, 36602.0]
140,1751881196.9319663,[37326.0, 37292.0, 34415.0, 36664.0, 37694.0, 36602.0]
144,1751881197.2655125,[37326.0, 37291.0, 34414.0, 36664.0, 37696.0, 36602.0]
148,1751881197.5991259,[37324.0, 37291.0, 34415.0, 36664.0, 37696.0, 36603.0]
152,1751881197.9326043,[37326.0, 37291.0, 34414.0, 36665.0, 37696.0, 36602.0]
156,1751881198.2658918,[37325.0, 37292.0, 34415.0, 36664.0, 37697.0, 36601.0]
160,1751881198.5992324,[37325.0, 37291.0, 34415.0, 36665.0, 37696.0, 36603.0]
